StudentID,Attendance_Percent,Gender,Age,Department,Midterm_Score,Final_Score,Projects_Score,Total_Score,Extracurricular_Activities,Parent_Education_Level,Family_Income_Level
S10028,92.84,Female,21,Engineering,57.7,94.1,64.65,77.0615,Yes,Master's,Low
S10029,86.69,Female,23,Mathematics,48.02,70.38,54.18,62.437,Yes,PhD,Low
S10030,93.49,Female,22,Business,86.31,44.03,74.39,66.0145,Yes,None,Medium
S10031,81.42,Male,22,Engineering,53.05,48.48,52.74,59.4345,Yes,Master's,Low
S10032,72.09,Female,21,Business,53.42,58.54,99.92,75.3605,Yes,Master's,Medium
S10033,63.52,Male,19,Engineering,56.5,42.61,67.92,60.8405,No,None,Medium
S10034,90.1,Female,21,CS,75.21,58.56,97.92,75.453,No,Master's,Medium
S10035,63.07,Female,23,CS,79.58,43.6,88.66,72.686,No,Bachelor's,Low
S10036,69.12,Female,18,Mathematics,41.06,54.16,70.56,64.587,Yes,Master's,High
S10037,91.1,Male,21,Mathematics,54.51,55.94,55.92,54.846,Yes,High School,Low
S10038,77.43,Male,18,Business,65.86,99.66,61.86,76.036,Yes,Master's,High
S10039,73.38,Female,23,Mathematics,59.92,54.13,83.65,70.524,No,PhD,Low
S10040,98.57,Male,24,Business,93.05,54.35,91.5,74.415,Yes,Master's,Medium
S10041,94.78,Male,23,CS,87.26,81.21,98.97,82.207,Yes,High School,High
S10042,65.43,Male,20,CS,77.55,91.56,56.61,70.0885,No,High School,Low
S10043,61.08,Male,18,Engineering,60.28,63.22,57.8,62.5355,Yes,Master's,Low
S10044,81.57,Male,22,Business,82.04,92.54,52.12,74.6105,No,Bachelor's,High
S10045,62.19,Male,21,CS,90.62,60.41,63.02,66.4695,Yes,Master's,Medium
S10046,65.8,Male,24,CS,75.69,51.82,91.05,74.4005,Yes,None,Medium
S10047,68.5,Female,23,Business,87.07,59.78,59.91,64.285,No,High School,High
S10048,73.29,Male,18,Engineering,84.95,76.56,77.39,74.3145,No,Master's,Low
S10049,77.7,Male,24,Engineering,74.3,62.03,72.32,64.0355,No,Bachelor's,Medium
S10050,86.96,Female,19,Engineering,58.73,80.37,66.29,65.7015,Yes,Bachelor's,Low
S10051,91.29,Female,20,Engineering,84.75,54.22,80.92,71.7035,No,Bachelor's,Medium
S10052,68.52,Female,19,CS,52.41,82.06,75.12,75.0925,Yes,PhD,Low
S10053,64.73,Female,23,Business,86.77,60.85,66.74,68.2895,No,PhD,Medium
S10054,78.55,Male,19,Business,88.27,67.35,84.44,77.7435,Yes,PhD,Low
S10055,93.82,Female,19,CS,89.33,73.46,64.0,74.7025,No,None,Low
S10056,66.73,Female,20,CS,68.37,81.17,82.16,79.403,No,None,Medium
S10057,86.24,Male,20,CS,51.55,54.32,97.86,74.5145,Yes,Master's,Medium
S10058,92.25,Male,20,Mathematics,45.98,90.16,86.45,76.561,No,PhD,Low
S10059,86.61,Male,24,Business,84.6,83.31,70.92,77.554,No,PhD,High
S10060,62.29,Female,20,Business,93.18,54.05,87.38,69.9835,Yes,None,Low
S10061,65.81,Male,19,Business,79.05,98.5,90.46,83.86,Yes,Bachelor's,High
S10062,96.34,Female,22,Engineering,48.65,79.89,66.29,73.2555,Yes,Bachelor's,Medium
S10063,67.19,Male,22,CS,96.09,67.15,85.26,81.3665,Yes,High School,High
S10064,76.15,Male,20,CS,99.35,49.45,71.72,71.657,No,Master's,Low
S10065,95.6,Female,24,CS,66.0,71.99,90.93,77.2365,No,Master's,Medium
S10066,94.75,Male,21,Mathematics,75.69,49.89,64.77,60.7255,Yes,PhD,Medium
S10067,60.04,Male,18,Business,86.63,65.77,96.89,80.319,Yes,None,High
S10068,66.66,Male,23,CS,84.18,64.52,78.74,73.3265,Yes,Master's,Medium
S10069,79.76,Male,24,Mathematics,98.07,83.2,67.67,78.4305,No,Bachelor's,High
S10070,93.34,Male,21,CS,46.89,51.54,70.97,62.484,No,None,Low
S10071,77.13,Female,23,Engineering,74.84,89.31,67.39,75.0805,Yes,PhD,Medium
S10072,85.91,Female,21,Business,81.52,59.57,57.31,61.5855,No,PhD,Low
S10073,67.91,Male,21,Mathematics,93.41,66.64,53.42,72.752,Yes,Master's,High
S10074,78.86,Female,22,CS,92.45,86.34,66.09,73.3345,No,Master's,High
S10075,84.82,Female,18,Business,98.68,77.52,72.93,76.8655,No,High School,Low
S10076,89.61,Female,21,Mathematics,70.72,58.48,68.09,66.8915,No,Master's,High
S10077,86.9,Male,20,Business,89.85,63.17,50.7,67.272,Yes,Master's,High
S10078,75.59,Male,23,Business,65.64,58.35,78.95,70.4535,Yes,Bachelor's,Low
S10079,88.72,Male,24,Engineering,65.34,75.69,57.24,71.6,Yes,Bachelor's,Low
S10080,65.62,Female,22,Business,55.2,59.96,60.55,65.122,No,None,Medium
S10081,60.21,Female,23,Mathematics,89.09,83.54,56.04,72.416,No,Master's,Medium
S10082,77.12,Male,20,Business,99.15,74.79,76.02,77.5895,Yes,Master's,Low
S10083,94.18,Male,20,Mathematics,55.38,48.74,54.76,62.645,Yes,PhD,Medium
S10084,96.01,Female,21,Business,43.37,58.62,62.82,63.94,Yes,Bachelor's,High
S10085,80.29,Female,20,CS,88.93,53.29,72.59,72.657,No,PhD,Medium
S10086,66.19,Male,18,Engineering,77.21,63.42,58.39,69.629,No,Master's,Medium
S10087,87.1,Female,20,CS,97.58,70.96,72.31,74.067,No,Bachelor's,High
S10088,90.85,Female,21,Engineering,55.13,70.41,67.14,64.651,No,Master's,Low
S10089,64.33,Female,23,Mathematics,44.26,85.27,93.03,81.4695,Yes,High School,High
S10090,86.14,Female,20,Engineering,69.55,51.35,89.75,74.4315,No,PhD,Medium
S10091,83.73,Female,22,Business,45.13,96.79,99.64,85.901,Yes,Bachelor's,High
S10092,94.38,Female,24,Business,55.71,60.57,76.45,64.666,No,Bachelor's,Low
S10093,84.82,Female,22,CS,47.56,58.01,78.77,69.686,Yes,Master's,Medium
S10094,93.41,Male,22,Engineering,53.45,81.11,97.33,75.5215,Yes,Master's,Low
S10095,81.02,Male,23,Mathematics,46.37,88.33,69.98,71.7975,No,None,Low
S10096,71.99,Female,19,Mathematics,97.23,62.71,77.78,75.77,No,None,High
S10097,74.05,Female,24,Business,56.71,84.81,68.95,74.885,No,PhD,Low
S10098,91.34,Female,22,Mathematics,66.63,93.02,77.29,78.121,No,Bachelor's,High
S10099,76.59,Male,22,Business,93.92,86.01,54.04,72.0455,Yes,Master's,High
S10100,93.99,Male,19,Business,80.64,42.05,89.19,68.094,No,PhD,Medium
S10101,67.75,Female,23,Business,77.08,89.64,99.26,85.2515,No,Bachelor's,Low
S10102,94.2,Male,24,CS,82.33,86.47,53.29,72.5115,No,Master's,Low
S10103,88.68,Female,22,CS,89.73,80.16,90.05,85.1355,No,None,Low
S10104,84.54,Female,21,Business,92.66,85.6,62.09,71.837,No,Bachelor's,Low
S10105,85.45,Female,23,Business,78.56,98.77,59.88,72.645,No,Master's,Low
S10106,82.44,Female,24,Business,93.4,65.87,84.67,76.7645,Yes,PhD,High
S10107,96.58,Female,22,Mathematics,72.12,44.03,52.21,57.8065,Yes,PhD,Medium
S10108,77.51,Female,22,Business,56.64,67.65,73.16,65.269,Yes,High School,Medium
S10109,98.76,Female,19,Business,92.8,42.79,50.07,59.616,No,Bachelor's,Low
S10110,68.44,Male,24,Engineering,72.49,57.66,77.72,71.148,Yes,PhD,High
S10111,70.02,Female,21,Engineering,94.37,75.21,73.1,72.089,No,Bachelor's,High
S10112,89.02,Male,23,Engineering,42.41,58.58,95.77,67.0245,Yes,PhD,Low
S10113,92.96,Female,20,Engineering,63.85,81.12,86.01,76.321,Yes,Bachelor's,Medium
S10114,66.83,Female,18,Business,96.87,89.32,56.3,75.476,No,Bachelor's,Low
S10115,96.74,Male,21,Engineering,54.98,65.23,67.73,65.403,Yes,Bachelor's,High
S10116,79.88,Male,20,Mathematics,96.49,94.01,96.58,84.601,No,High School,Low
S10117,78.96,Female,21,Mathematics,97.23,44.79,86.27,71.197,No,None,Low
S10118,97.49,Male,24,Engineering,92.93,90.41,79.71,80.8085,Yes,Bachelor's,Low
S10119,81.13,Female,20,CS,73.82,89.71,77.95,81.338,Yes,None,High
S10120,62.95,Female,24,Mathematics,78.82,59.32,69.9,66.9335,Yes,None,Medium
S10121,97.95,Male,20,Mathematics,92.18,57.92,79.26,70.7495,Yes,None,Low
S10122,67.07,Male,21,Engineering,86.55,58.31,88.58,76.06,Yes,PhD,Medium
S10123,98.11,Male,19,Engineering,77.81,88.68,56.38,66.966,No,Master's,Medium
S10124,76.42,Male,21,Business,98.94,89.9,98.49,87.2815,Yes,None,High
S10125,90.51,Female,24,Mathematics,81.14,59.78,61.97,68.8855,No,Bachelor's,Low
S10126,77.4,Male,21,Engineering,98.53,75.56,72.39,77.4615,No,Master's,Low
S10127,72.85,Male,20,Engineering,43.44,48.34,51.14,55.226,No,PhD,Medium
S10128,68.34,Male,18,Business,48.34,68.13,77.52,67.9385,Yes,High School,Medium
S10129,71.49,Male,20,Mathematics,67.09,99.93,69.09,79.9985,Yes,None,Medium
S10130,60.15,Male,22,Engineering,63.09,49.53,62.49,59.467,Yes,None,High
S10131,72.0,Female,21,Business,86.96,96.85,99.28,88.172,No,PhD,High
S10132,83.64,Female,23,Engineering,49.64,89.46,71.41,75.4775,Yes,Bachelor's,Medium
S10133,73.84,Male,21,CS,98.57,98.33,70.71,78.394,Yes,Bachelor's,High
S10134,84.76,Male,19,CS,58.9,50.77,73.16,61.162,Yes,Master's,High
S10135,65.83,Female,24,Engineering,65.74,52.81,55.81,58.875,No,Master's,High
S10136,68.7,Male,23,Mathematics,56.48,41.01,69.65,56.402,No,Bachelor's,Low
S10137,78.94,Female,20,CS,74.76,83.48,66.82,69.435,Yes,High School,High
S10138,89.65,Female,19,Business,43.52,78.65,73.26,66.837,Yes,Bachelor's,Medium
S10139,77.6,Male,21,Engineering,48.98,50.68,92.83,67.269,Yes,High School,Low
S10140,74.95,Female,20,Business,84.75,87.47,59.64,75.316,No,PhD,Medium
S10141,81.53,Male,20,CS,51.19,57.95,80.39,71.5315,Yes,High School,High
S10142,61.15,Male,22,Mathematics,54.13,48.1,51.88,56.153,No,PhD,Medium
S10143,66.16,Female,22,Business,87.58,65.35,65.84,72.9865,No,None,Medium
S10144,95.91,Female,18,CS,45.6,45.46,73.63,66.3565,No,Bachelor's,High
S10145,90.79,Male,22,CS,66.25,55.79,53.71,64.865,No,Master's,Medium
S10146,70.64,Female,24,CS,41.38,62.28,77.2,69.5955,No,None,High
S10147,78.11,Male,23,Business,60.81,91.11,65.52,72.633,No,Master's,High
S10148,75.79,Female,20,CS,81.94,87.55,99.64,87.8815,Yes,High School,High
S10149,62.13,Female,22,Engineering,45.41,66.57,81.55,64.388,No,Bachelor's,Medium
S10150,87.9,Male,18,CS,93.3,83.47,62.21,73.1925,No,Bachelor's,Medium
S10151,92.23,Male,21,Engineering,94.57,74.12,55.13,70.321,No,Bachelor's,Medium
S10152,98.1,Male,23,Mathematics,46.3,60.45,52.04,62.992,Yes,None,Low
S10153,92.59,Female,22,Engineering,99.44,83.55,54.54,70.3875,No,PhD,Medium
S10154,66.4,Male,20,Mathematics,57.85,81.01,84.0,72.546,No,High School,High
S10155,79.31,Male,21,Mathematics,45.05,77.15,92.75,77.9165,No,None,High
S10156,69.86,Female,24,Engineering,40.3,77.08,57.84,61.622,No,None,Low
S10157,78.31,Female,20,Mathematics,64.51,80.98,70.11,73.283,Yes,PhD,Low
S10158,66.57,Male,21,Engineering,77.79,63.07,67.71,71.8215,No,Master's,Low
S10159,83.07,Male,24,Business,59.93,92.14,82.23,76.0085,No,Master's,Low
S10160,86.8,Male,24,Mathematics,90.2,49.74,59.13,65.054,No,Bachelor's,Medium
S10161,86.1,Male,23,Engineering,83.0,93.03,97.67,83.509,Yes,None,Medium
S10162,60.2,Female,20,Mathematics,61.01,60.54,86.43,75.338,Yes,PhD,High
S10163,94.47,Female,22,CS,84.06,47.5,97.75,74.43,No,PhD,Medium
S10164,97.56,Male,22,Engineering,96.43,76.0,63.87,74.9845,Yes,Master's,Low
S10165,79.28,Male,18,CS,45.59,62.56,79.39,66.302,Yes,PhD,Low
S10166,72.81,Male,21,Mathematics,58.37,88.93,86.61,75.681,No,Master's,Low
S10167,94.78,Female,18,Mathematics,67.8,65.85,85.55,76.83,No,Master's,Low
S10168,75.72,Male,19,Business,69.88,80.11,51.07,68.752,No,None,Medium
S10169,66.35,Male,22,Engineering,72.53,58.5,99.91,75.9855,Yes,High School,High
S10170,74.21,Female,21,CS,58.04,52.57,96.4,75.426,Yes,Bachelor's,High
S10171,87.37,Female,23,Business,80.04,63.28,55.99,65.0285,Yes,High School,Medium
S10172,97.88,Male,18,Mathematics,78.71,76.41,77.18,73.1315,Yes,PhD,Low
S10173,86.75,Male,23,Mathematics,74.67,79.42,65.73,75.7835,No,High School,Medium
S10174,94.62,Female,23,Business,46.83,74.69,93.94,74.3575,No,High School,Medium
S10175,66.03,Male,23,CS,68.62,99.28,84.88,81.064,Yes,Master's,High
S10176,65.7,Male,18,Mathematics,61.37,81.47,61.18,64.032,No,None,Medium
S10177,91.13,Female,19,Mathematics,69.46,95.89,51.69,72.5165,No,PhD,Low
S10178,91.97,Female,24,Engineering,95.31,47.08,64.59,68.915,No,Bachelor's,Medium
S10179,70.16,Female,24,Business,68.83,43.68,51.91,59.7955,Yes,Master's,High
S10180,71.25,Male,18,Mathematics,40.84,58.66,57.07,61.5075,No,Bachelor's,High
S10181,68.88,Female,24,CS,66.33,48.2,81.81,69.908,No,None,High
S10182,76.49,Female,20,Engineering,89.24,71.55,87.25,81.782,Yes,High School,Medium
S10183,79.17,Male,24,Business,86.8,71.14,73.4,77.6165,No,High School,Low
S10184,78.89,Male,22,CS,70.8,74.5,80.01,75.547,No,None,Low
S10185,92.67,Female,18,Mathematics,54.99,84.71,57.79,67.9125,Yes,PhD,Low
S10186,89.79,Female,24,Business,67.91,98.28,65.84,78.149,No,Master's,High
S10187,99.52,Male,18,Business,73.82,92.7,85.64,76.6455,No,High School,High
S10188,94.66,Male,19,CS,99.99,47.1,68.24,64.666,Yes,None,High
S10189,92.73,Female,20,Business,78.65,60.31,67.44,74.307,No,Master's,Low
S10190,72.4,Female,18,CS,81.66,55.35,59.7,60.2085,No,Master's,High
S10191,73.9,Male,22,Mathematics,69.49,50.61,79.74,69.842,Yes,None,High
S10192,90.82,Female,24,Engineering,61.27,72.68,90.48,75.854,Yes,High School,Medium
S10193,86.53,Male,22,CS,88.78,73.2,73.47,71.6505,Yes,PhD,High
S10194,79.89,Female,24,Engineering,69.7,53.63,55.78,59.417,Yes,High School,High
S10195,87.56,Male,18,Business,99.68,82.71,91.92,82.834,Yes,High School,Low
S10196,82.29,Male,23,CS,67.43,83.97,53.57,68.679,Yes,High School,Low
S10197,83.73,Female,24,Mathematics,44.08,41.26,73.59,58.353,Yes,High School,Medium
S10198,84.54,Female,23,CS,80.95,63.75,63.05,69.057,Yes,Bachelor's,Low
S10199,96.21,Male,20,CS,42.8,93.41,96.82,84.0555,No,None,Low
S10200,70.27,Female,22,CS,55.03,71.22,86.88,74.983,Yes,PhD,High
S10201,94.87,Female,23,Engineering,61.22,60.86,78.32,73.5945,Yes,PhD,Medium
S10202,64.53,Female,22,Engineering,84.37,55.22,83.39,75.5375,No,Bachelor's,High
S10203,93.61,Male,24,Business,69.65,54.6,76.64,66.862,Yes,PhD,High
S10204,92.3,Female,24,Business,41.72,45.99,57.38,60.661,Yes,Bachelor's,Medium
S10205,65.93,Female,20,Business,77.01,89.03,85.45,74.9885,Yes,Bachelor's,Low
S10206,85.21,Male,24,Business,64.69,45.2,74.63,64.408,Yes,PhD,Medium
S10207,84.79,Female,20,CS,95.31,57.54,81.72,74.5985,No,PhD,High
S10208,87.44,Female,23,Engineering,69.97,42.74,52.26,59.3165,Yes,High School,Medium
S10209,90.68,Male,24,Engineering,82.54,86.88,57.1,66.9385,Yes,Bachelor's,Low
S10210,78.06,Male,18,Engineering,53.13,42.36,79.47,66.889,Yes,Master's,Medium
S10211,72.71,Female,21,Engineering,85.66,58.5,72.97,71.279,Yes,None,High
S10212,61.54,Female,19,Business,83.26,74.4,61.34,70.02,No,High School,High
S10213,77.58,Male,21,CS,94.24,64.57,62.04,70.36,Yes,Bachelor's,High
S10214,89.64,Male,21,Engineering,42.03,56.94,81.58,64.644,No,High School,High
S10215,72.51,Female,22,Mathematics,66.85,56.51,52.95,62.0185,Yes,High School,Low
S10216,60.79,Female,20,CS,80.75,87.87,71.71,74.931,No,None,Medium
S10217,61.98,Female,22,Mathematics,45.71,98.44,76.16,75.9055,Yes,PhD,Medium
S10218,61.36,Male,23,CS,64.64,60.88,65.41,65.575,Yes,PhD,Medium
S10219,99.21,Female,19,CS,96.53,42.35,91.03,75.5145,No,None,Low
S10220,71.98,Male,23,CS,66.16,42.19,52.84,58.897,Yes,High School,Medium
S10221,74.34,Male,18,Mathematics,99.12,85.55,93.29,83.8565,Yes,Bachelor's,Medium
S10222,90.9,Male,19,Engineering,43.41,73.14,86.16,68.9235,No,PhD,Low
S10223,87.76,Female,22,Engineering,83.07,87.02,72.31,74.839,Yes,Master's,High
S10224,92.35,Female,24,Mathematics,74.86,81.85,96.22,76.14,Yes,Bachelor's,High
S10225,72.22,Female,24,Engineering,70.03,94.45,85.11,81.971,Yes,High School,Low
S10226,95.02,Male,22,Business,98.25,93.15,96.55,87.547,No,Master's,Low
S10227,79.98,Female,23,Engineering,47.78,87.3,73.63,75.5125,No,Bachelor's,High
S10228,94.93,Male,22,Business,93.76,68.51,72.65,76.6785,Yes,None,Low
S10229,89.75,Male,22,Business,81.47,58.49,76.54,73.483,No,Master's,Medium
S10230,66.44,Male,21,Business,55.54,70.42,53.27,65.071,No,High School,Medium
S10231,89.65,Male,18,Mathematics,94.1,70.12,95.42,78.9025,No,Master's,Low
S10232,84.34,Male,24,Engineering,65.76,76.62,83.39,75.657,No,None,High
S10233,78.14,Male,21,Engineering,88.85,51.17,80.88,71.492,Yes,PhD,Medium
S10234,92.16,Female,22,Mathematics,63.33,79.34,96.32,78.388,Yes,PhD,High
S10235,74.84,Male,20,Mathematics,91.06,67.4,99.68,78.905,No,PhD,Medium
S10236,87.29,Female,21,Engineering,78.2,77.21,58.17,69.6415,No,None,High
S10237,84.5,Male,22,Mathematics,48.46,54.38,87.45,69.266,Yes,Bachelor's,Low
S10238,88.49,Female,24,Mathematics,78.98,66.06,79.0,75.3615,No,None,Medium
S10239,79.27,Female,22,Business,51.48,52.61,73.05,67.216,Yes,Master's,Medium
S10240,93.46,Female,18,Mathematics,64.72,92.52,98.88,85.2475,Yes,Bachelor's,Medium
S10241,89.97,Female,23,Business,50.22,69.28,92.51,78.573,Yes,PhD,Low
S10242,64.06,Male,19,CS,41.32,53.5,84.84,65.9265,Yes,None,Low
S10243,88.51,Male,21,Business,52.71,42.47,69.13,60.0565,Yes,High School,High
S10244,74.68,Male,21,Business,72.18,80.54,83.3,72.825,Yes,PhD,High
S10245,83.67,Male,21,Mathematics,68.89,52.88,76.58,73.0655,Yes,High School,High
S10246,76.28,Female,22,Engineering,70.09,99.37,62.47,72.111,Yes,Bachelor's,Medium
S10247,76.08,Female,18,CS,54.86,72.02,72.52,68.466,No,PhD,High
S10248,61.04,Female,22,CS,81.11,57.34,60.61,66.5595,Yes,None,High
S10249,82.22,Male,22,CS,82.26,79.46,75.02,78.295,No,High School,Medium
S10250,75.79,Female,23,Engineering,61.48,56.51,86.01,69.861,No,None,High
S10251,62.83,Male,20,CS,92.87,89.22,51.83,70.48,No,PhD,Medium
S10252,94.25,Female,18,CS,78.64,58.49,88.27,68.4545,No,None,Medium
S10253,91.93,Female,21,Engineering,82.78,99.29,51.0,74.348,No,PhD,High
S10254,86.34,Female,19,CS,56.64,76.31,75.86,72.338,Yes,Master's,High
S10255,76.95,Female,21,Mathematics,40.04,90.66,78.67,80.9515,Yes,None,High
S10256,77.44,Female,22,Mathematics,91.92,44.37,88.06,74.6595,Yes,Master's,Low
S10257,79.85,Male,18,Business,89.35,60.9,88.05,73.4765,No,High School,High
S10258,91.83,Female,24,Business,47.39,84.25,70.87,65.257,Yes,None,Low
S10259,79.76,Male,18,Business,62.45,79.3,53.32,60.9915,No,None,Medium
S10260,87.01,Male,18,Mathematics,79.68,51.65,84.68,72.9665,Yes,High School,Medium
S10261,73.76,Male,20,Mathematics,79.13,61.37,75.55,76.786,No,None,High
S10262,93.49,Male,21,Mathematics,91.62,55.81,66.65,70.2125,No,PhD,High
S10263,68.68,Male,20,Business,48.42,76.8,61.74,66.8715,No,Master's,High
S10264,63.26,Male,24,Business,65.8,60.67,55.99,59.6275,Yes,Bachelor's,Low
S10265,65.26,Male,24,Business,45.83,58.54,64.76,60.7265,No,PhD,Medium
S10266,92.44,Male,23,Business,63.38,52.44,72.92,64.1985,Yes,Bachelor's,Low
S10267,61.16,Female,19,Business,40.91,64.54,73.88,69.6885,Yes,High School,High
S10268,61.62,Female,23,Business,93.9,51.73,79.14,71.3055,No,High School,Low
S10269,77.79,Male,22,Mathematics,71.62,97.75,68.12,76.0355,No,None,Medium
S10270,98.75,Male,20,Engineering,90.99,49.27,95.99,80.8425,Yes,PhD,High
S10271,90.79,Male,20,Engineering,43.59,94.8,74.79,75.0735,No,Bachelor's,Low
S10272,80.92,Female,23,Business,53.65,65.71,71.19,68.5305,Yes,Master's,Medium
S10273,60.74,Female,22,Engineering,55.56,62.67,52.41,63.7085,Yes,PhD,High
S10274,76.26,Male,18,Engineering,63.2,53.88,79.95,66.026,Yes,High School,High
S10275,94.48,Male,22,Mathematics,88.17,78.15,80.14,84.2065,Yes,PhD,High
S10276,97.89,Female,21,Business,63.19,81.13,79.16,70.8485,No,Master's,High
S10277,99.21,Female,23,Business,52.28,68.05,94.38,69.618,No,PhD,Low
S10278,64.69,Male,22,Engineering,43.9,43.34,88.15,67.361,Yes,None,Low
S10279,99.78,Male,18,Business,44.77,95.11,93.37,76.9725,No,Master's,High
S10280,85.9,Male,22,Business,85.6,98.82,52.97,71.5945,No,Bachelor's,High
S10281,90.15,Male,20,Business,66.69,65.86,65.91,69.8455,No,High School,Low
S10282,77.84,Female,19,Business,83.57,76.82,65.94,72.296,Yes,PhD,Low
S10283,94.08,Female,20,Engineering,80.94,67.02,82.85,76.6915,Yes,Master's,High
S10284,84.06,Male,24,CS,48.12,59.31,72.43,67.212,Yes,None,High
S10285,66.12,Male,19,Engineering,48.57,44.64,88.87,61.1595,Yes,None,Low
S10286,90.92,Male,24,Mathematics,85.32,67.36,69.22,72.799,No,Bachelor's,Low
S10287,75.88,Female,22,CS,83.28,89.1,61.08,77.3045,Yes,High School,Low
S10288,83.61,Male,21,CS,62.68,41.02,64.55,57.7455,Yes,None,Low
S10289,60.14,Male,22,CS,44.65,74.93,59.12,60.702,No,High School,High
S10290,81.32,Male,18,Engineering,40.73,92.85,59.89,69.1895,Yes,Master's,Low
S10291,70.25,Female,22,Mathematics,57.29,53.05,60.84,58.7995,Yes,PhD,High
S10292,97.06,Male,19,Engineering,40.55,51.0,50.8,58.2715,Yes,Bachelor's,Low
S10293,83.7,Female,20,Mathematics,53.8,86.34,85.8,80.764,Yes,None,Low
S10294,87.71,Male,21,Engineering,65.17,55.31,69.98,66.7295,Yes,PhD,Medium
S10295,85.81,Male,24,Engineering,47.28,51.52,51.13,56.329,No,None,Medium
S10296,78.71,Male,22,Engineering,46.26,62.68,68.5,67.1065,No,Bachelor's,Medium
S10297,84.53,Female,22,CS,93.79,63.55,95.27,78.7765,Yes,None,Low
S10298,69.93,Male,20,Engineering,75.13,92.45,75.56,77.634,No,Bachelor's,Medium
S10299,69.7,Male,21,Mathematics,96.07,77.11,99.34,87.3955,No,PhD,Medium
S10300,81.64,Female,23,Mathematics,60.75,64.36,77.0,70.2295,No,Master's,High
S10301,76.65,Female,24,Mathematics,80.63,72.06,98.14,77.9125,Yes,Bachelor's,Medium
S10302,82.09,Female,22,CS,52.28,97.24,60.09,73.3495,No,Master's,Medium
S10303,90.5,Male,22,Engineering,77.1,46.79,64.5,66.144,No,High School,High
S10304,97.85,Female,23,Engineering,47.78,52.46,85.0,69.3645,No,PhD,Low
S10305,93.94,Male,24,Business,40.12,97.75,99.34,81.795,No,Bachelor's,Medium
S10306,95.0,Female,19,CS,95.89,97.44,91.26,85.8545,Yes,PhD,High
S10307,86.9,Female,19,Mathematics,73.29,50.63,77.69,65.46,Yes,Master's,High
S10308,76.84,Female,18,Mathematics,95.62,48.71,54.26,61.8455,No,Master's,Medium
S10309,82.91,Male,20,Engineering,60.03,65.27,68.22,67.858,No,PhD,High
S10310,71.45,Male,21,Mathematics,59.67,42.98,54.32,56.16,Yes,PhD,Medium
S10311,80.41,Male,22,Engineering,64.04,79.29,65.56,70.1075,Yes,Master's,Low
S10312,77.52,Male,24,Engineering,82.36,44.65,62.94,62.586,No,PhD,Medium
S10313,89.02,Male,22,Business,73.95,43.48,69.43,60.0225,No,Master's,Low
S10314,86.5,Male,18,CS,95.52,69.11,91.86,80.441,No,High School,High
S10315,83.5,Male,24,Engineering,41.53,97.47,57.52,68.415,No,Master's,High
